sid,elastic,yield,phase_ratio_dict,ds
Co8.50Mo5.15Ti2.60,1.42E+11,999045917.8,"{""martensite"": 0.6559944215529168, ""Fe2Mo"": 0.08992337723785943, ""austenite"": 0.1291373493141055, ""gamma_phase"": 0.01187078177657908, ""Ni3Ti"": 0.1130740701185393}",20250304
Co8.50Mo5.25Ti2.20,1.19E+11,850372168.9,"{""martensite"": 0.6366681307104562, ""Fe2Mo"": 0.09098956856369306, ""austenite"": 0.1674157001862721, ""gamma_phase"": 0.00843994556393707, ""Ni3Ti"": 0.09648665497564148}",20250304
Co8.50Mo5.25Ti0.80,89036612011,641555721,"{""martensite"": 0.5781999583214714, ""Fe2Mo"": 0.08776340644201669, ""austenite"": 0.2984680544590981, ""Ni3Ti"": 0.03556858077741382}",20250304
Co8.50Mo5.45Ti2.60,1.33E+11,945353657.3,"{""martensite"": 0.6500110673714325, ""Fe2Mo"": 0.09592119857879088, ""austenite"": 0.1289959124735877, ""gamma_phase"": 0.01200481666183227, ""Ni3Ti"": 0.1130670049143568}",20250304
Co8.50Mo4.90Ti1.60,1.07E+11,780448554.7,"{""martensite"": 0.6179089154319106, ""Fe2Mo"": 0.08259473279881002, ""austenite"": 0.2248331572740319, ""gamma_phase"": 0.003103403364353328, ""Ni3Ti"": 0.07155979113089414}",20250304
Co8.50Mo5.10Ti3.00,1.55E+11,1085186950,"{""martensite"": 0.6745502983593853, ""Fe2Mo"": 0.0898678835700066, ""austenite"": 0.09064243961467082, ""gamma_phase"": 0.01535029565455053, ""Ni3Ti"": 0.1295890828013867}",20250304
Co8.50Mo4.90Ti1.40,98850443660,710340555.8,"{""martensite"": 0.6094497118525533, ""Fe2Mo"": 0.0821326413033925, ""austenite"": 0.2438173718771059, ""gamma_phase"": 0.001391454765579584, ""Ni3Ti"": 0.06320882020136877}",20250304
Co8.50Mo5.25Ti1.60,1.17E+11,840064800.1,"{""martensite"": 0.6110572979508692, ""Fe2Mo"": 0.08960566191129658, ""austenite"": 0.2245702814452444, ""gamma_phase"": 0.003274499768011256, ""Ni3Ti"": 0.07149225892457874}",20250304
Co8.50Mo4.95Ti1.40,1.10E+11,792977391,"{""martensite"": 0.6084749666836634, ""Fe2Mo"": 0.08313399005523767, ""austenite"": 0.2437773042829219, ""gamma_phase"": 0.001416336656347767, ""Ni3Ti"": 0.06319740232182934}",20250304
Co8.50Mo5.50Ti2.60,1.34E+11,963350514.7,"{""martensite"": 0.649013213215224, ""Fe2Mo"": 0.09692182956467332, ""austenite"": 0.1289718657010788, ""gamma_phase"": 0.01202715928194081, ""Ni3Ti"": 0.1130659322370829}",20250304
